course_title;url;price;num_subscribers;num_reviews;num_lectures;level;Rating;content_duration;published_timestamp;subject
Mastering the Market : (Technical Analysis + Candlestick);https://www.udemy.com/mastering-the-market-volume-i/;90;18;7;97;All Levels;9;7;16/12/16 10:01;Business Finance
Mastering Thymeleaf with Spring;https://www.udemy.com/mastering-thymeleaf-with-spring/;75;942;161;64;Beginner Level;89;45;5/2/16 15:42;Subject: Web Development
Mastering Thymeleaf with Spring;https://www.udemy.com/mastering-thymeleaf-with-spring/;75;942;161;64;Beginner Level;89;45;5/2/16 15:42;Web Development
Mastering TypeScript;https://www.udemy.com/mastering-typescript/;95;353;34;41;Beginner Level;11;3;29/12/15 18:10;Subject: Web Development
Mastering TypeScript;https://www.udemy.com/mastering-typescript/;95;353;34;41;Beginner Level;11;3;29/12/15 18:10;Web Development
Mastering Unix : AWK Commands;https://www.udemy.com/mastering-unix-commands/;20;358;0;23;Beginner Level;39;2;3/5/17 17:21;Subject: Web Development
Mastering Unix : AWK Commands;https://www.udemy.com/mastering-unix-commands/;20;358;0;23;Beginner Level;39;2;3/5/17 17:21;Web Development
Mastering Web and Mobile Debugging Using Chrome Dev Tools;https://www.udemy.com/mastering-web-and-mobile-debugging-using-chrome-dev-tools/;195;1102;12;21;All Levels;96;2;29/1/16 16:02;Subject: Web Development
Mastering Web and Mobile Debugging Using Chrome Dev Tools;https://www.udemy.com/mastering-web-and-mobile-debugging-using-chrome-dev-tools/;195;1102;12;21;All Levels;96;2;29/1/16 16:02;Web Development
Matemðtica Financeira com HP12C e MS Excel;https://www.udemy.com/matematica-financeira-com-hp12-e-ms-excel/;20;74;17;30;Beginner Level;76;45;12/10/16 8:50;Business Finance
Matemðtica Financeira com HP12C e MS Excel;https://www.udemy.com/matematica-financeira-com-hp12-e-ms-excel/;20;74;17;30;Beginner Level;76;45;12/10/16 8:50;Business Finance
Matemðtica Financeira de um jeito fðcil;https://www.udemy.com/matematica-financeira2/;95;401;67;20;All Levels;28;15;23/7/13 15:45;Business Finance
